SERIAL_NUMBER,MODEL_NAME,CARTON_NO,PALLET_NO,VENDOR_SN,ASY_B,HW,FW,DESCRIPTION,SKU,INNER_CARTON_NO,PO_NUMBER,BUNDLE,DN,H_H_PARTNUMBER
BHRC1716LH000915-C,DOORBELL_V3,78634,ASSY0175B018,9884E32A5A78,4/24/17 20:37,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704240557,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000917-C,DOORBELL_V3,78626,ASSY0175B018,9884E3242647,4/24/17 20:51,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000924-C,DOORBELL_V3,78634,ASSY0175B018,9884E347F122,4/24/17 21:01,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704240557,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000927-C,DOORBELL_V3,78626,ASSY0175B018,9884E32A5D8A,4/24/17 20:34,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000929-C,DOORBELL_V3,78626,ASSY0175B018,9884E32A5643,4/24/17 20:40,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000931-C,DOORBELL_V3,78626,ASSY0175B018,9884E32DC9C6,4/24/17 21:02,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000932-C,DOORBELL_V3,78626,ASSY0175B018,9884E32A5BE1,4/24/17 20:32,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000933-C,DOORBELL_V3,78634,ASSY0175B018,E8EB110973B8,4/24/17 20:34,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704240557,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000936-C,DOORBELL_V3,78626,ASSY0175B018,9884E32A5A4A,4/24/17 20:37,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000947-C,DOORBELL_V3,78634,ASSY0175B018,E8EB110B1C00,4/24/17 20:33,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704240557,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000949-C,DOORBELL_V3,78634,ASSY0175B018,9884E32A52BF,4/24/17 20:35,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704240557,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000955-C,DOORBELL_V3,78626,ASSY0175B018,9884E347EA8C,4/24/17 21:12,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000959-C,DOORBELL_V3,78634,ASSY0175B018,9884E324D3A4,4/24/17 21:17,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704240557,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000960-C,DOORBELL_V3,78626,ASSY0175B018,9884E347E795,4/24/17 21:09,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000961-C,DOORBELL_V3,78789,ASSY0175B018,9884E3D7B12F,4/24/17 21:18,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250694,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000981-C,DOORBELL_V3,78626,ASSY0175B018,E8EB110F251E,4/24/17 21:07,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000988-C,DOORBELL_V3,78626,ASSY0175B018,9884E32A2A85,4/24/17 20:29,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000990-C,DOORBELL_V3,78626,ASSY0175B018,9884E347E254,4/24/17 21:05,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
BHRC1716LH000994-C,DOORBELL_V3,78626,ASSY0175B018,9884E32A5D96,4/24/17 21:03,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704250207,100255, ,2170903146,3A0149100-600-GA01
